from:START_ID,to:END_ID,:TYPE
2991,0,IS
134068,0,IS
134069,0,IS
134070,0,IS
134075,0,IS
134076,0,IS
134086,0,IS
134088,0,IS
3021,0,IS
3022,0,IS
3023,0,IS
134096,0,IS
3026,0,IS
3027,0,IS
3029,0,IS
3030,0,IS
3031,0,IS
134103,0,IS
3034,0,IS
3038,0,IS
3041,0,IS
3043,0,IS
134116,0,IS
134118,0,IS
134122,0,IS
134129,0,IS
134131,0,IS
134134,0,IS
3063,0,IS
3064,0,IS
134139,0,IS
3068,0,IS
3069,0,IS
134143,0,IS
134144,0,IS
3073,0,IS
134145,0,IS
3081,0,IS
134153,0,IS
3083,0,IS
3084,0,IS
3085,0,IS
3086,0,IS
3087,0,IS
134159,0,IS
134165,0,IS
3094,0,IS
3096,0,IS
134170,0,IS
134180,0,IS
134181,0,IS
134182,0,IS
134183,0,IS
3113,0,IS
134186,0,IS
3115,0,IS
134187,0,IS
3118,0,IS
134197,0,IS
134198,0,IS
3127,0,IS
134199,0,IS
134206,0,IS
3135,0,IS
3136,0,IS
134207,0,IS
134210,0,IS
134217,0,IS
134221,0,IS
134224,0,IS
134234,0,IS
134240,0,IS
3172,0,IS
3178,0,IS
3185,0,IS
3186,0,IS
134257,0,IS
3188,0,IS
3189,0,IS
134261,0,IS
134263,0,IS
3192,0,IS
134266,0,IS
3197,0,IS
134269,0,IS
134273,0,IS
3202,0,IS
134277,0,IS
134278,0,IS
3207,0,IS
3208,0,IS
134279,0,IS
3210,0,IS
134282,0,IS
3223,0,IS
134295,0,IS
134298,0,IS
3228,0,IS
134305,0,IS
134307,0,IS
3236,0,IS
134309,0,IS
134310,0,IS
3242,0,IS
3243,0,IS
134317,0,IS
3248,0,IS
3249,0,IS
3252,0,IS
134324,0,IS
134325,0,IS
3255,0,IS
3256,0,IS
134326,0,IS
134327,0,IS
134328,0,IS
134330,0,IS
3262,0,IS
3263,0,IS
3264,0,IS
3269,0,IS
134341,0,IS
3273,0,IS
3275,0,IS
3276,0,IS
3277,0,IS
134350,0,IS
134352,0,IS
3282,0,IS
134355,0,IS
3284,0,IS
3285,0,IS
3286,0,IS
134356,0,IS
134357,0,IS
134358,0,IS
3290,0,IS
134359,0,IS
3292,0,IS
134363,0,IS
3298,0,IS
134374,0,IS
3303,0,IS
134375,0,IS
134377,0,IS
134378,0,IS
134382,0,IS
134384,0,IS
3317,0,IS
134389,0,IS
134390,0,IS
3326,0,IS
3328,0,IS
134402,0,IS
3339,0,IS
134411,0,IS
134414,0,IS
3343,0,IS
3345,0,IS
3347,0,IS
3351,0,IS
3352,0,IS
3354,0,IS
3356,0,IS
3357,0,IS
3362,0,IS
3391,0,IS
3395,0,IS
3401,0,IS
3406,0,IS
3407,0,IS
3409,0,IS
134500,0,IS
134501,0,IS
134505,0,IS
134508,0,IS
134510,0,IS
3440,0,IS
3444,0,IS
3447,0,IS
134520,0,IS
134521,0,IS
3452,0,IS
3453,0,IS
3457,0,IS
3458,0,IS
134533,0,IS
3462,0,IS
3465,0,IS
134543,0,IS
134544,0,IS
3473,0,IS
134547,0,IS
3476,0,IS
3479,0,IS
3482,0,IS
134554,0,IS
3484,0,IS
3485,0,IS
134556,0,IS
134558,0,IS
3488,0,IS
134559,0,IS
134560,0,IS
134561,0,IS
134564,0,IS
134565,0,IS
134566,0,IS
134567,0,IS
134570,0,IS
134571,0,IS
134574,0,IS
134575,0,IS
134580,0,IS
134584,0,IS
3521,0,IS
134594,0,IS
134596,0,IS
3525,0,IS
134597,0,IS
134598,0,IS
3528,0,IS
134603,0,IS
3534,0,IS
3535,0,IS
134609,0,IS
3538,0,IS
3540,0,IS
3546,0,IS
134620,0,IS
3550,0,IS
134622,0,IS
3555,0,IS
134627,0,IS
3557,0,IS
134629,0,IS
3559,0,IS
134631,0,IS
3562,0,IS
3572,0,IS
134645,0,IS
3578,0,IS
134650,0,IS
134653,0,IS
134654,0,IS
3583,0,IS
134657,0,IS
134662,0,IS
134667,0,IS
3598,0,IS
3600,0,IS
3601,0,IS
134672,0,IS
3606,0,IS
3607,0,IS
3610,0,IS
134683,0,IS
134684,0,IS
134685,0,IS
134686,0,IS
134687,0,IS
3616,0,IS
134689,0,IS
134690,0,IS
134694,0,IS
134702,0,IS
3631,0,IS
3632,0,IS
134705,0,IS
134706,0,IS
3641,0,IS
3644,0,IS
3647,0,IS
3649,0,IS
3651,0,IS
3653,0,IS
3667,0,IS
3670,0,IS
3672,0,IS
134747,0,IS
134748,0,IS
3677,0,IS
134749,0,IS
134750,0,IS
3680,0,IS
3692,0,IS
3694,0,IS
3695,0,IS
3736,0,IS
134820,0,IS
