nid:ID,:LABEL,label
13512,News,news
13513,News,news
13517,News,news
13528,News,news
13535,News,news
13536,News,news
13537,News,news
13548,News,news
13552,News,news
13557,News,news
13560,News,news
13569,News,news
13575,News,news
13582,News,news
13587,News,news
13589,News,news
13601,News,news
13608,News,news
13610,News,news
13619,News,news
13661,News,news
13664,News,news
13684,News,news
13686,News,news
13688,News,news
13691,News,news
13693,News,news
13714,News,news
13721,News,news
13737,News,news
13744,News,news
13747,News,news
13753,News,news
13757,News,news
13766,News,news
13775,News,news
13776,News,news
13779,News,news
13782,News,news
13789,News,news
13794,News,news
13798,News,news
13804,News,news
13810,News,news
13833,News,news
13838,News,news
13839,News,news
13842,News,news
13848,News,news
13859,News,news
13860,News,news
13862,News,news
13870,News,news
13892,News,news
13924,News,news
13927,News,news
13934,News,news
13937,News,news
13944,News,news
13946,News,news
13947,News,news
13954,News,news
13956,News,news
13965,News,news
13970,News,news
13982,News,news
13983,News,news
13990,News,news
13996,News,news
13997,News,news
13999,News,news
14002,News,news
14005,News,news
14009,News,news
14010,News,news
14012,News,news
14018,News,news
14021,News,news
14027,News,news
14032,News,news
14034,News,news
14036,News,news
14058,News,news
14062,News,news
14066,News,news
14067,News,news
14074,News,news
14083,News,news
14092,News,news
14095,News,news
14097,News,news
14100,News,news
14115,News,news
14122,News,news
14129,News,news
14133,News,news
14134,News,news
14137,News,news
14142,News,news
14145,News,news
14149,News,news
14151,News,news
14161,News,news
14162,News,news
14166,News,news
14173,News,news
14177,News,news
14185,News,news
14188,News,news
14192,News,news
14197,News,news
14205,News,news
14211,News,news
14217,News,news
14233,News,news
14251,News,news
14254,News,news
14265,News,news
14271,News,news
14274,News,news
14277,News,news
14286,News,news
14288,News,news
14291,News,news
14296,News,news
14301,News,news
14303,News,news
14305,News,news
14309,News,news
14310,News,news
14320,News,news
14324,News,news
14327,News,news
14328,News,news
14331,News,news
14332,News,news
14336,News,news
14339,News,news
